2.0,0.0
6.0,0.0
8.0,0.0
10.0,0.0
11.0,21.09965635738832
12.0,56.88536409516944
13.0,78.69339272457313
14.0,46.99785561115082
15.0,38.27956989247312
16.0,0.966183574879227
17.0,37.953091684434966
18.0,18.6392629340893
19.0,19.097956307258634
20.0,0.0
21.0,18.911374738311235
22.0,9.16376306620209
23.0,0.5544005544005544
24.0,0.0
25.0,0.0
26.0,0.0
27.0,9.748427672955977
28.0,0.0
29.0,9.748427672955977
30.0,0.0
31.0,0.4804392587508579
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.5544005544005544
36.0,0.4830917874396135
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.0
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
86.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.5544005544005544
94.0,0.0
95.0,0.0
96.0,0.966183574879227
97.0,5.511811023622047
98.0,0.0
99.0,5.511811023622047
100.0,0.0
101.0,1.866666666666667
102.0,0.0
104.0,0.0
107.0,31.22279382667194
108.0,9.241040056219257
109.0,68.32229580573951
110.0,78.5660941000747
112.0,77.18268525311812
